"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.03.2020","71,19","75,70","76,46","61,36","-","7,80%"
"20.03.2020","66,04","67,86","69,51","57,42","-","-8,28%"
"19.03.2020","72,00","80,62","84,26","68,57","-","-5,82%"
"18.03.2020","76,45","69,37","85,47","69,37","-","0,71%"
"17.03.2020","75,91","82,69","84,83","70,37","-","-8,20%"
"16.03.2020","82,69","57,83","83,56","57,83","-","42,99%"
"13.03.2020","57,83","71,31","77,57","55,17","-","-23,37%"
"12.03.2020","75,47","61,46","76,83","59,91","-","40,02%"
"11.03.2020","53,90","52,24","55,82","49,98","-","13,95%"
"10.03.2020","47,30","49,68","55,66","43,56","-","-13,15%"
"09.03.2020","54,46","41,94","62,12","41,94","-","29,85%"
"06.03.2020","41,94","41,46","54,39","40,84","-","5,86%"
"05.03.2020","39,62","33,61","42,84","33,54","-","23,85%"
"04.03.2020","31,99","34,44","35,58","30,30","-","-13,12%"
"03.03.2020","36,82","33,64","41,06","24,93","-","10,17%"
"02.03.2020","33,42","34,86","43,77","31,50","-","-16,68%"
"28.02.2020","40,11","42,02","49,48","39,37","-","2,43%"
"27.02.2020","39,16","28,95","39,31","27,79","-","42,09%"
"26.02.2020","27,56","26,63","29,57","24,76","-","-1,04%"
"25.02.2020","27,85","22,19","30,25","22,19","-","11,27%"
"24.02.2020","25,03","22,25","26,35","22,00","-","46,55%"
